Date,New York,Fitted,Spread Rate,Exponential,Predicted Doubling Rate
3/1/2020,1,1,1.45,1,1.865
3/2/2020,1,1.45,,,
3/3/2020,2,2.10,,,
3/4/2020,11,11.00,,,
3/5/2020,22,15.95,,,
3/6/2020,44,23.13,,,
3/7/2020,89,33.53,,,
3/8/2020,106,48.63,,,
3/9/2020,142,70.51,,,
3/10/2020,173,102.24,,,
3/11/2020,217,148.24,,,
3/12/2020,326,214.95,,,
3/13/2020,421,311.68,,,
3/14/2020,610,451.93,,,
3/15/2020,732,655.30,,,
3/16/2020,950,950.19,,,
3/17/2020,1374,1377.77,,,
3/18/2020,2382,1997.77,,,
3/19/2020,4152,2896.76,,,
3/20/2020,7102,4200.30,,,
3/21/2020,10356,6090.44,,,
3/22/2020,15168,8831.14,,,
3/23/2020,20875,12805.15,,,
3/24/2020,25665,18567.47,,,
3/25/2020,33066,26922.83,,,
3/26/2020,38987,39038.11,,,
3/27/2020,44635,56605.25,,,
